Time,BreathingWaveform
20/08/2018 14:00:08.435,7239311
20/08/2018 14:00:08.475,7229990
20/08/2018 14:00:08.515,7229990
20/08/2018 14:00:08.555,7228419
20/08/2018 14:00:08.595,7228419
20/08/2018 14:00:08.635,7227110
20/08/2018 14:00:08.675,7225906
20/08/2018 14:00:08.715,7227319
20/08/2018 14:00:08.755,7227267
20/08/2018 14:00:08.795,7230776
20/08/2018 14:00:08.835,7239678
20/08/2018 14:00:08.875,7247376
20/08/2018 14:00:08.915,7250256
20/08/2018 14:00:08.955,7252927
20/08/2018 14:00:08.995,7257954
20/08/2018 14:00:09.035,7264867
20/08/2018 14:00:09.075,7269684
20/08/2018 14:00:09.115,7272250
20/08/2018 14:00:09.155,7275549
20/08/2018 14:00:09.195,7278953
20/08/2018 14:00:09.235,7283195
20/08/2018 14:00:09.275,7289741
20/08/2018 14:00:09.315,7291469
20/08/2018 14:00:09.355,7295973
20/08/2018 14:00:09.395,7301733
20/08/2018 14:00:09.435,7308959
20/08/2018 14:00:09.475,7317338
20/08/2018 14:00:09.515,7328545
20/08/2018 14:00:09.555,7327183
20/08/2018 14:00:09.595,7327550
20/08/2018 14:00:09.635,7334881
20/08/2018 14:00:09.675,7337761
20/08/2018 14:00:09.715,7337185
20/08/2018 14:00:09.755,7331530
20/08/2018 14:00:09.795,7320899
20/08/2018 14:00:09.835,7316553
20/08/2018 14:00:09.875,7322156
20/08/2018 14:00:09.915,7319957
20/08/2018 14:00:09.955,7316972
20/08/2018 14:00:09.995,7316762
20/08/2018 14:00:10.035,7320428
20/08/2018 14:00:10.075,7322732
20/08/2018 14:00:10.115,7325560
20/08/2018 14:00:10.155,7325665
20/08/2018 14:00:10.195,7318909
20/08/2018 14:00:10.235,7312154
20/08/2018 14:00:10.275,7308069
20/08/2018 14:00:10.315,7302937
20/08/2018 14:00:10.355,7297753
20/08/2018 14:00:10.395,7294820
20/08/2018 14:00:10.435,7289165
20/08/2018 14:00:10.475,7285447
20/08/2018 14:00:10.515,7278115
20/08/2018 14:00:10.555,7273088
20/08/2018 14:00:10.595,7267328
20/08/2018 14:00:10.635,7263400
20/08/2018 14:00:10.675,7261934
20/08/2018 14:00:10.715,7259159
20/08/2018 14:00:10.755,7257431
20/08/2018 14:00:10.795,7253712
20/08/2018 14:00:10.835,7252665
20/08/2018 14:00:10.875,7251984
20/08/2018 14:00:10.915,7254812
20/08/2018 14:00:10.955,7257849
20/08/2018 14:00:10.995,7259473
20/08/2018 14:00:11.035,7261044
20/08/2018 14:00:11.075,7263139
20/08/2018 14:00:11.115,7262877
20/08/2018 14:00:11.155,7263924
20/08/2018 14:00:11.195,7264605
20/08/2018 14:00:11.235,7263610
20/08/2018 14:00:11.275,7265338
20/08/2018 14:00:11.315,7269946
20/08/2018 14:00:11.355,7276492
20/08/2018 14:00:11.395,7283090
20/08/2018 14:00:11.435,7293249
20/08/2018 14:00:11.475,7300214
20/08/2018 14:00:11.515,7306289
20/08/2018 14:00:11.555,7320742
20/08/2018 14:00:11.595,7329435
20/08/2018 14:00:11.635,7324931
20/08/2018 14:00:11.675,7321109
20/08/2018 14:00:11.715,7328335
20/08/2018 14:00:11.755,7336766
20/08/2018 14:00:11.795,7337761
20/08/2018 14:00:11.835,7351482
20/08/2018 14:00:11.875,7356037
20/08/2018 14:00:11.915,7363683
20/08/2018 14:00:11.955,7368343
20/08/2018 14:00:11.995,7374523
20/08/2018 14:00:12.035,7377927
20/08/2018 14:00:12.075,7383949
20/08/2018 14:00:12.115,7386567
20/08/2018 14:00:12.155,7377089
20/08/2018 14:00:12.195,7366563
20/08/2018 14:00:12.235,7354833
20/08/2018 14:00:12.275,7349125
20/08/2018 14:00:12.315,7345878
20/08/2018 14:00:12.355,7348025
20/08/2018 14:00:12.395,7348706
20/08/2018 14:00:12.435,7350853
20/08/2018 14:00:12.475,7348287
20/08/2018 14:00:12.515,7338128
20/08/2018 14:00:12.555,7327288
20/08/2018 14:00:12.595,7320480
20/08/2018 14:00:12.635,7316815
20/08/2018 14:00:12.675,7315767
20/08/2018 14:00:12.715,7308174
20/08/2018 14:00:12.755,7302937
20/08/2018 14:00:12.795,7297386
20/08/2018 14:00:12.835,7291259
20/08/2018 14:00:12.875,7280681
20/08/2018 14:00:12.915,7272669
20/08/2018 14:00:12.955,7269108
20/08/2018 14:00:12.995,7267380
20/08/2018 14:00:13.035,7266019
20/08/2018 14:00:13.075,7264971
20/08/2018 14:00:13.115,7262981
20/08/2018 14:00:13.155,7259001
20/08/2018 14:00:13.195,7256540
20/08/2018 14:00:13.235,7254236
20/08/2018 14:00:13.275,7252927
20/08/2018 14:00:13.315,7254655
20/08/2018 14:00:13.355,7258164
20/08/2018 14:00:13.395,7263086
20/08/2018 14:00:13.435,7261096
20/08/2018 14:00:13.475,7254079
20/08/2018 14:00:13.515,7248580
20/08/2018 14:00:13.555,7247324
20/08/2018 14:00:13.595,7247690
20/08/2018 14:00:13.635,7245596
20/08/2018 14:00:13.675,7244600
20/08/2018 14:00:13.715,7243187
20/08/2018 14:00:13.755,7242454
20/08/2018 14:00:13.795,7239154
20/08/2018 14:00:13.835,7235803
20/08/2018 14:00:13.875,7234756
