Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
22/08/2018 11:21:42.442,65,10.0,-3276.8,-121,0.24,0.32,4.173,95,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,3,2,-0.91,-0.84,0.00,0.25,0.26,0.43,25.0,560,255,-128,-128,6553.5,414,423,498
22/08/2018 11:21:43.442,65,10.0,-3276.8,-126,0.13,0.21,4.173,95,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,3,3,-1.08,-0.85,0.14,0.22,0.31,0.39,25.0,563,255,-128,-128,6553.5,414,422,498
22/08/2018 11:21:44.442,65,10.0,-3276.8,-128,0.06,0.10,4.173,95,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.91,-0.86,0.16,0.24,0.31,0.39,25.0,563,255,-128,-128,6553.5,415,422,499
22/08/2018 11:21:45.442,65,10.0,-3276.8,-129,0.04,0.12,4.173,95,0.000,65535.000,0,0.000000,0.000200,0,65535,0,65535,0,0,-0.93,-0.85,0.01,0.22,0.21,0.50,25.0,563,255,-128,-128,6553.5,415,423,499
22/08/2018 11:21:46.442,65,10.0,-3276.8,-130,0.02,0.04,4.173,95,0.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,0,1,-0.90,-0.86,0.12,0.21,0.32,0.39,25.0,560,255,-128,-128,6553.5,415,422,499
22/08/2018 11:21:47.442,65,10.0,-3276.8,-130,0.01,0.04,4.173,95,18651.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,1,0,-0.91,-0.85,0.13,0.21,0.31,0.39,25.0,560,255,-128,-128,6553.5,414,422,498
22/08/2018 11:21:48.442,65,10.0,-3276.8,-131,0.02,0.07,4.173,95,16451.000,65535.000,0,0.000000,0.000840,0,65535,0,65535,1,1,-0.92,-0.84,0.09,0.21,0.33,0.44,25.0,560,255,-128,-128,6553.5,428,428,502
22/08/2018 11:21:49.442,65,10.0,-3276.8,-129,0.07,0.25,4.170,95,17992.000,65535.000,0,0.000000,0.003160,0,65535,0,65535,1,2,-0.92,-0.73,0.10,0.30,0.20,0.61,25.0,560,255,-128,-128,6553.5,416,426,500
22/08/2018 11:21:50.442,65,10.0,-3276.8,-131,0.05,0.09,4.169,94,15645.000,65535.000,11,0.000000,0.002240,0,65535,0,65535,1,3,-0.91,-0.78,0.10,0.25,0.31,0.39,25.0,560,255,-128,-128,6553.5,415,423,499
22/08/2018 11:21:51.442,65,10.0,-3276.8,-131,0.03,0.12,4.169,94,12483.000,65535.000,11,0.000000,0.004460,0,65535,0,65535,1,4,-0.92,-0.81,0.09,0.24,0.22,0.49,25.0,560,255,-128,-128,6553.5,418,426,500
22/08/2018 11:21:52.442,0,10.0,-3276.8,-131,0.04,0.18,4.169,94,17053.000,65535.000,11,0.000800,0.002720,0,65535,0,65535,1,5,-0.93,-0.78,0.14,0.26,0.27,0.55,25.0,560,255,-128,-128,6553.5,413,421,498
22/08/2018 11:21:53.442,60,10.0,-3276.8,-131,0.16,0.37,4.169,94,17915.000,65535.000,22,0.000800,0.004500,0,65535,0,65535,3,0,-1.20,-0.62,0.13,0.27,0.13,0.59,25.0,560,255,-128,-128,6553.5,394,407,478
22/08/2018 11:21:54.442,71,10.0,-3276.8,-131,0.13,0.33,4.169,94,20946.000,65535.000,22,0.024380,0.005440,0,65535,0,65535,3,1,-1.12,-0.60,0.10,0.32,0.18,0.57,25.0,560,255,-128,-128,6553.5,414,422,499
22/08/2018 11:21:55.442,79,10.0,-3276.8,-127,0.18,0.42,4.169,94,22480.000,65535.000,22,0.024380,0.003440,0,65535,0,65535,3,2,-1.06,-0.66,-0.09,0.25,-0.06,0.57,25.0,560,255,-128,-128,6553.5,414,422,498
22/08/2018 11:21:56.442,82,10.0,-3276.8,-115,0.33,0.44,4.169,94,21899.000,65535.000,22,0.018060,0.003900,0,65535,0,65535,3,3,-1.12,-0.85,-0.19,0.00,-0.18,0.19,25.0,560,255,-128,-128,6553.5,414,422,498
22/08/2018 11:21:57.442,84,10.0,-3276.8,-111,0.19,0.43,4.169,94,22361.000,65535.000,33,0.018060,0.006660,0,65535,0,65535,3,4,-1.27,-0.72,-0.20,0.10,-0.18,0.27,25.0,563,255,-128,-128,6553.5,398,393,490
22/08/2018 11:21:58.442,85,10.0,-3276.8,-109,0.17,0.44,4.169,94,22689.000,65535.000,0,0.018060,0.005440,0,65535,0,65535,0,0,-1.28,-0.74,-0.16,0.25,-0.26,0.19,25.0,563,255,-128,-128,6553.5,435,435,505
22/08/2018 11:21:59.442,85,10.0,-3276.8,-109,0.22,0.28,4.169,94,24202.000,65535.000,11,0.018060,0.004880,0,65535,0,65535,1,0,-1.08,-0.79,-0.14,0.24,-0.20,0.19,25.0,560,255,-128,-128,6553.5,405,415,496
22/08/2018 11:22:00.442,85,10.0,-3276.8,-109,0.08,0.15,4.169,94,23233.000,65535.000,11,0.014280,0.004480,0,65535,0,65535,1,1,-1.03,-0.90,-0.02,0.07,-0.12,0.02,25.0,560,255,-128,-128,6553.5,430,436,503
22/08/2018 11:22:01.442,85,11.0,-3276.8,-108,0.05,0.12,4.169,94,20025.000,65535.000,11,0.014280,0.003180,0,65535,0,65535,1,2,-1.01,-0.89,-0.04,0.06,-0.12,0.07,25.0,560,255,-128,-128,6553.5,421,431,502
22/08/2018 11:22:02.442,85,11.0,-3276.8,-106,0.03,0.16,4.169,94,15348.000,65535.000,11,0.010540,0.003480,0,65535,0,65535,1,3,-1.06,-0.87,-0.10,0.07,-0.09,0.09,25.0,560,255,-128,-128,6553.5,398,417,491
22/08/2018 11:22:03.442,85,11.0,-3276.8,-108,0.03,0.13,4.169,94,15772.000,65535.000,11,0.010540,0.002820,0,65535,0,65535,1,4,-1.02,-0.91,-0.03,0.10,-0.02,0.12,25.0,560,255,-128,-128,6553.5,413,419,499
22/08/2018 11:22:04.442,85,11.0,-3276.8,-110,0.09,0.18,4.169,94,14965.000,65535.000,22,0.010540,0.003260,0,65535,0,65535,1,5,-1.07,-0.84,-0.02,0.21,-0.14,0.18,25.0,560,255,-128,-128,6553.5,416,428,499
22/08/2018 11:22:05.442,85,12.0,-3276.8,-104,0.16,0.60,4.169,94,13542.000,65535.000,22,0.010540,0.003000,0,65535,0,65535,1,6,-1.33,-0.55,-0.18,0.75,-0.32,0.80,25.0,560,255,-128,-128,6553.5,411,419,498
22/08/2018 11:22:06.442,85,12.0,-3276.8,-101,0.15,0.56,4.169,94,13093.000,65535.000,22,0.010540,0.002340,0,65535,0,65535,1,7,-1.49,-0.81,-0.19,0.16,-0.54,0.02,25.0,560,255,-128,-128,6553.5,425,432,502
22/08/2018 11:22:07.442,85,12.0,-3276.8,-104,0.07,0.12,4.169,94,11732.000,65535.000,22,0.010540,0.003860,0,65535,0,65535,1,8,-0.97,-0.90,-0.07,0.07,-0.09,0.04,25.0,560,255,-128,-128,6553.5,412,421,498
22/08/2018 11:22:08.442,85,12.0,-3276.8,-104,0.05,0.09,4.169,94,12284.000,65535.000,22,0.009140,0.002640,0,65535,0,65535,1,9,-0.97,-0.91,-0.06,0.03,-0.13,0.04,25.0,560,255,-128,-128,6553.5,414,421,499
22/08/2018 11:22:09.442,85,12.0,-3276.8,-104,0.03,0.07,4.169,94,14586.000,65535.000,22,0.009140,0.002080,0,65535,0,65535,1,10,-0.97,-0.91,-0.08,0.01,-0.10,0.00,25.0,560,255,-128,-128,6553.5,412,420,500
22/08/2018 11:22:10.442,85,12.0,-3276.8,-104,0.02,0.04,4.169,94,19588.000,65535.000,33,0.004760,0.001080,0,65535,0,65535,1,11,-0.97,-0.91,-0.06,0.02,-0.08,-0.01,25.0,560,255,-128,-128,6553.5,422,428,504
