Time,BreathingWaveform
20/08/2018 12:04:31.434,6866407
20/08/2018 12:04:31.474,6863631
20/08/2018 12:04:31.514,6863631
20/08/2018 12:04:31.554,6863003
20/08/2018 12:04:31.594,6863003
20/08/2018 12:04:31.634,6860856
20/08/2018 12:04:31.674,6858185
20/08/2018 12:04:31.714,6858342
20/08/2018 12:04:31.754,6860018
20/08/2018 12:04:31.794,6865569
20/08/2018 12:04:31.834,6868187
20/08/2018 12:04:31.874,6888191
20/08/2018 12:04:31.914,6918093
20/08/2018 12:04:31.954,6941815
20/08/2018 12:04:31.994,6957002
20/08/2018 12:04:32.034,6953702
20/08/2018 12:04:32.074,6935112
20/08/2018 12:04:32.114,6901807
20/08/2018 12:04:32.154,6893114
20/08/2018 12:04:32.194,6875990
20/08/2018 12:04:32.234,6871277
20/08/2018 12:04:32.274,6881908
20/08/2018 12:04:32.314,6911128
20/08/2018 12:04:32.354,6936160
20/08/2018 12:04:32.394,6953336
20/08/2018 12:04:32.434,6954698
20/08/2018 12:04:32.474,6936683
20/08/2018 12:04:32.514,6898455
20/08/2018 12:04:32.554,6882274
20/08/2018 12:04:32.594,6875047
20/08/2018 12:04:32.634,6869654
20/08/2018 12:04:32.674,6858185
20/08/2018 12:04:32.714,6849754
20/08/2018 12:04:32.754,6847555
20/08/2018 12:04:32.794,6844884
20/08/2018 12:04:32.834,6845460
20/08/2018 12:04:32.874,6844936
20/08/2018 12:04:32.914,6848026
20/08/2018 12:04:32.954,6858290
20/08/2018 12:04:32.994,6872167
20/08/2018 12:04:33.034,6888663
20/08/2018 12:04:33.074,6905106
20/08/2018 12:04:33.114,6923801
20/08/2018 12:04:33.154,6940139
20/08/2018 12:04:33.194,6941606
20/08/2018 12:04:33.234,6927624
20/08/2018 12:04:33.274,6891910
20/08/2018 12:04:33.314,6867245
20/08/2018 12:04:33.354,6857033
20/08/2018 12:04:33.394,6852948
20/08/2018 12:04:33.434,6854310
20/08/2018 12:04:33.474,6852896
20/08/2018 12:04:33.514,6845722
20/08/2018 12:04:33.554,6842370
20/08/2018 12:04:33.594,6841009
20/08/2018 12:04:33.634,6835877
20/08/2018 12:04:33.674,6835510
20/08/2018 12:04:33.714,6840066
20/08/2018 12:04:33.754,6841218
20/08/2018 12:04:33.794,6853106
20/08/2018 12:04:33.834,6841690
20/08/2018 12:04:33.874,6838967
20/08/2018 12:04:33.914,6842632
20/08/2018 12:04:33.954,6835615
20/08/2018 12:04:33.994,6830169
20/08/2018 12:04:34.034,6830221
20/08/2018 12:04:34.074,6831688
20/08/2018 12:04:34.114,6831426
20/08/2018 12:04:34.154,6839490
20/08/2018 12:04:34.194,6874209
