SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,20,43471434,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,20,43473060,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43473315,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43475061,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,43475417,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43475981,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43483056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,43488056,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,43488732,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43488936,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43503013,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43503057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,20,43503829,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43504057,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,43516054,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.55g
0,2018,08,20,43518057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,43523062,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,43527793,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43528062,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,20,43529053,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43529057,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,43534062,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,43535057,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.46g
0,2018,08,20,43542057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,43551057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,43558480,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43559056,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,20,43559080,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43560062,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,20,43573057,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.39g
0,2018,08,20,43579054,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,43592058,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43593057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,20,43593989,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43594056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,43599057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,43599213,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,43600060,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,20,43600644,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,43605062,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,43613063,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
