SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,22,45071442,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,22,45082952,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45083066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45086592,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45087067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45115948,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45117071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45122071,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,22,45130051,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45130071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,45130072,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45131066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,45131067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45131306,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45133673,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45134071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,45135011,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45137066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,45145066,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,22,45145434,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45146071,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45147894,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45149922,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45150455,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45153066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45162935,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45163066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45163067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45164071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45164072,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45165066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45167586,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45172071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45177066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,22,45182071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,22,45190071,4352,Physiological,JumpAlgorithm,0,Jump Test Detected - Flight time 930ms, peak acceleration -3.1g
0,2018,08,22,45192067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45193071,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45196271,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45197066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,22,45199215,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,45200071,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,45200655,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,45203071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,45218391,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
