SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,22,40902442,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,22,40904070,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40905067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,40906809,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40908069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40908321,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40908381,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40914069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,22,40918281,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40919069,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,22,40919613,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40920069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40944403,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40945068,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40945400,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40946068,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40964677,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40965069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40966033,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40966069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40974569,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40974570,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40975153,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40975765,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40976591,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40977069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40977673,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40978069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40978285,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40979069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40979425,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40982305,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40983070,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40985069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40986071,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40986782,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40988688,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40989069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40989817,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40991069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,40991893,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40992069,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,22,40993465,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40993945,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40996129,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,40998421,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,40999070,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,22,41002070,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,22,41003070,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,22,41004013,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
