SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,21,48012438,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,21,48016063,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,21,48020065,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48021064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,21,48054064,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48055064,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,21,48060063,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,21,48069064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,21,48074064,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,21,48074064,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 1.24g
0,2018,08,21,48079064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,21,48080065,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48081064,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,21,48084775,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48088064,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,21,48089036,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48089064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,21,48090248,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48091880,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48092084,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48096064,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,21,48105063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48106063,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,21,48106063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48107064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48107564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48107565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48108064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48109064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48110064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48111064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48112064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48113064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48113564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48113565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48113939,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48113940,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48157065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48158065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48159064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48159439,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48159440,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48159564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48159565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48160064,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48160064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,21,48160065,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48160564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48160565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48161065,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,21,48161065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48161440,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48161441,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48161565,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48161566,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48179564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48179565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48180064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48180439,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48180440,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48180564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48180565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48181065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48181190,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48181191,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48182063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48183065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48183940,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48183941,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48184064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,21,48184564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48184565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48184939,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,21,48184940,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,21,48185064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,21,48209065,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
