Time,BreathingWaveform
24/08/2018 10:05:43.448,6772932
24/08/2018 10:05:43.488,6780578
24/08/2018 10:05:43.528,6780578
24/08/2018 10:05:43.568,6801105
24/08/2018 10:05:43.608,6801105
24/08/2018 10:05:43.648,6811003
24/08/2018 10:05:43.688,6815192
24/08/2018 10:05:43.728,6802938
24/08/2018 10:05:43.768,6793669
24/08/2018 10:05:43.808,6788014
24/08/2018 10:05:43.848,6787176
24/08/2018 10:05:43.888,6785657
24/08/2018 10:05:43.928,6776388
24/08/2018 10:05:43.968,6773508
24/08/2018 10:05:44.008,6823099
24/08/2018 10:05:44.048,6863736
24/08/2018 10:05:44.088,6886306
24/08/2018 10:05:44.128,6913485
24/08/2018 10:05:44.168,6929980
24/08/2018 10:05:44.208,6931394
24/08/2018 10:05:44.248,6940087
24/08/2018 10:05:44.288,6941501
24/08/2018 10:05:44.328,6933384
24/08/2018 10:05:44.368,6931289
24/08/2018 10:05:44.408,6929823
24/08/2018 10:05:44.448,6925215
24/08/2018 10:05:44.488,6927153
24/08/2018 10:05:44.528,6927990
24/08/2018 10:05:44.568,6923435
24/08/2018 10:05:44.608,6923539
24/08/2018 10:05:44.648,6924796
24/08/2018 10:05:44.688,6921235
24/08/2018 10:05:44.728,6915265
24/08/2018 10:05:44.768,6911390
24/08/2018 10:05:44.808,6904635
24/08/2018 10:05:44.848,6900131
24/08/2018 10:05:44.888,6904321
24/08/2018 10:05:44.928,6913485
24/08/2018 10:05:44.968,6924848
24/08/2018 10:05:45.008,6920397
24/08/2018 10:05:45.048,6920607
24/08/2018 10:05:45.088,6922753
24/08/2018 10:05:45.128,6925005
24/08/2018 10:05:45.168,6922492
24/08/2018 10:05:45.208,6921759
24/08/2018 10:05:45.248,6921811
24/08/2018 10:05:45.288,6918407
24/08/2018 10:05:45.328,6916732
24/08/2018 10:05:45.368,6914532
24/08/2018 10:05:45.408,6918721
24/08/2018 10:05:45.448,6926157
24/08/2018 10:05:45.488,6942915
24/08/2018 10:05:45.528,6952707
24/08/2018 10:05:45.568,6960929
24/08/2018 10:05:45.608,6968732
24/08/2018 10:05:45.648,6969988
24/08/2018 10:05:45.688,6967108
24/08/2018 10:05:45.728,6957263
24/08/2018 10:05:45.768,6951660
24/08/2018 10:05:45.808,6945847
24/08/2018 10:05:45.848,6943700
24/08/2018 10:05:45.888,6942077
24/08/2018 10:05:45.928,6938725
24/08/2018 10:05:45.968,6930347
24/08/2018 10:05:46.008,6923487
24/08/2018 10:05:46.048,6915265
24/08/2018 10:05:46.088,6913589
24/08/2018 10:05:46.128,6914322
24/08/2018 10:05:46.168,6910186
24/08/2018 10:05:46.208,6908562
24/08/2018 10:05:46.248,6907515
24/08/2018 10:05:46.288,6907358
24/08/2018 10:05:46.328,6907567
24/08/2018 10:05:46.368,6910081
24/08/2018 10:05:46.408,6918355
24/08/2018 10:05:46.448,6926157
24/08/2018 10:05:46.488,6929980
24/08/2018 10:05:46.528,6931446
24/08/2018 10:05:46.568,6931342
24/08/2018 10:05:46.608,6925477
24/08/2018 10:05:46.648,6923801
24/08/2018 10:05:46.688,6930190
24/08/2018 10:05:46.728,6931656
24/08/2018 10:05:46.768,6928724
24/08/2018 10:05:46.808,6927885
24/08/2018 10:05:46.848,6931394
24/08/2018 10:05:46.888,6932285
24/08/2018 10:05:46.928,6932494
24/08/2018 10:05:46.968,6935112
24/08/2018 10:05:47.008,6934379
24/08/2018 10:05:47.048,6937155
24/08/2018 10:05:47.088,6940611
24/08/2018 10:05:47.128,6939354
24/08/2018 10:05:47.168,6934693
24/08/2018 10:05:47.208,6932075
24/08/2018 10:05:47.248,6928357
24/08/2018 10:05:47.288,6926629
24/08/2018 10:05:47.328,6921602
24/08/2018 10:05:47.368,6919297
24/08/2018 10:05:47.408,6918303
24/08/2018 10:05:47.448,6917779
24/08/2018 10:05:47.488,6916470
24/08/2018 10:05:47.528,6915318
24/08/2018 10:05:47.568,6910657
24/08/2018 10:05:47.608,6909138
24/08/2018 10:05:47.648,6909557
24/08/2018 10:05:47.688,6908824
24/08/2018 10:05:47.728,6907410
24/08/2018 10:05:47.768,6902959
24/08/2018 10:05:47.808,6902907
24/08/2018 10:05:47.848,6902907
24/08/2018 10:05:47.888,6901388
24/08/2018 10:05:47.928,6899555
24/08/2018 10:05:47.968,6897408
24/08/2018 10:05:48.008,6896413
24/08/2018 10:05:48.048,6895471
24/08/2018 10:05:48.088,6895104
24/08/2018 10:05:48.128,6894475
24/08/2018 10:05:48.168,6894580
24/08/2018 10:05:48.208,6894318
24/08/2018 10:05:48.248,6892957
24/08/2018 10:05:48.288,6889029
24/08/2018 10:05:48.328,6885626
24/08/2018 10:05:48.368,6884159
24/08/2018 10:05:48.408,6881227
24/08/2018 10:05:48.448,6876933
24/08/2018 10:05:48.488,6873215
24/08/2018 10:05:48.528,6868135
24/08/2018 10:05:48.568,6869287
24/08/2018 10:05:48.608,6872953
24/08/2018 10:05:48.648,6873633
24/08/2018 10:05:48.688,6873843
24/08/2018 10:05:48.728,6873215
24/08/2018 10:05:48.768,6873319
24/08/2018 10:05:48.808,6874314
24/08/2018 10:05:48.848,6873110
24/08/2018 10:05:48.888,6870439
24/08/2018 10:05:48.928,6871172
24/08/2018 10:05:48.968,6871853
24/08/2018 10:05:49.008,6872586
24/08/2018 10:05:49.048,6884316
24/08/2018 10:05:49.088,6889291
24/08/2018 10:05:49.128,6891229
24/08/2018 10:05:49.168,6895418
24/08/2018 10:05:49.208,6898874
24/08/2018 10:05:49.248,6899136
24/08/2018 10:05:49.288,6903011
24/08/2018 10:05:49.328,6907148
24/08/2018 10:05:49.368,6909400
24/08/2018 10:05:49.408,6911652
24/08/2018 10:05:49.448,6912804
24/08/2018 10:05:49.488,6913799
24/08/2018 10:05:49.528,6912856
24/08/2018 10:05:49.568,6911023
24/08/2018 10:05:49.608,6911390
24/08/2018 10:05:49.648,6911495
24/08/2018 10:05:49.688,6910133
24/08/2018 10:05:49.728,6908824
24/08/2018 10:05:49.768,6908562
24/08/2018 10:05:49.808,6907200
24/08/2018 10:05:49.848,6904739
24/08/2018 10:05:49.888,6902278
24/08/2018 10:05:49.928,6901807
24/08/2018 10:05:49.968,6903744
24/08/2018 10:05:50.008,6905001
24/08/2018 10:05:50.048,6906520
24/08/2018 10:05:50.088,6907829
24/08/2018 10:05:50.128,6906782
24/08/2018 10:05:50.168,6906939
24/08/2018 10:05:50.208,6905787
24/08/2018 10:05:50.248,6905682
24/08/2018 10:05:50.288,6907777
24/08/2018 10:05:50.328,6908405
24/08/2018 10:05:50.368,6907620
24/08/2018 10:05:50.408,6904739
24/08/2018 10:05:50.448,6903325
24/08/2018 10:05:50.488,6904006
24/08/2018 10:05:50.528,6903901
24/08/2018 10:05:50.568,6902854
24/08/2018 10:05:50.608,6904425
24/08/2018 10:05:50.648,6905263
24/08/2018 10:05:50.688,6905892
24/08/2018 10:05:50.728,6907148
24/08/2018 10:05:50.768,6907777
24/08/2018 10:05:50.808,6907410
24/08/2018 10:05:50.848,6907620
24/08/2018 10:05:50.888,6907882
24/08/2018 10:05:50.928,6909662
24/08/2018 10:05:50.968,6913066
24/08/2018 10:05:51.008,6914637
24/08/2018 10:05:51.048,6919454
24/08/2018 10:05:51.088,6923958
24/08/2018 10:05:51.128,6926262
24/08/2018 10:05:51.168,6928409
24/08/2018 10:05:51.208,6925686
24/08/2018 10:05:51.248,6919035
24/08/2018 10:05:51.288,6912699
24/08/2018 10:05:51.328,6906834
24/08/2018 10:05:51.368,6901440
24/08/2018 10:05:51.408,6896204
24/08/2018 10:05:51.448,6894161
24/08/2018 10:05:51.488,6898508
24/08/2018 10:05:51.528,6899555
24/08/2018 10:05:51.568,6896989
24/08/2018 10:05:51.608,6894004
24/08/2018 10:05:51.648,6892119
24/08/2018 10:05:51.688,6894423
24/08/2018 10:05:51.728,6895523
24/08/2018 10:05:51.768,6897565
24/08/2018 10:05:51.808,6898193
24/08/2018 10:05:51.848,6897984
24/08/2018 10:05:51.888,6898298
24/08/2018 10:05:51.928,6897461
24/08/2018 10:05:51.968,6898141
24/08/2018 10:05:52.008,6899293
24/08/2018 10:05:52.048,6898927
24/08/2018 10:05:52.088,6901440
24/08/2018 10:05:52.128,6903744
24/08/2018 10:05:52.168,6904792
24/08/2018 10:05:52.208,6907934
24/08/2018 10:05:52.248,6911966
24/08/2018 10:05:52.288,6918355
24/08/2018 10:05:52.328,6928043
24/08/2018 10:05:52.368,6935950
24/08/2018 10:05:52.408,6941815
24/08/2018 10:05:52.448,6945795
24/08/2018 10:05:52.488,6949408
24/08/2018 10:05:52.528,6954645
24/08/2018 10:05:52.568,6959096
24/08/2018 10:05:52.608,6962814
24/08/2018 10:05:52.648,6967527
24/08/2018 10:05:52.688,6969988
24/08/2018 10:05:52.728,6970198
24/08/2018 10:05:52.768,6971402
24/08/2018 10:05:52.808,6970826
24/08/2018 10:05:52.848,6969465
24/08/2018 10:05:52.888,6966480
24/08/2018 10:05:52.928,6963862
24/08/2018 10:05:52.968,6961662
24/08/2018 10:05:53.008,6958991
24/08/2018 10:05:53.048,6953493
24/08/2018 10:05:53.088,6947785
24/08/2018 10:05:53.128,6941344
24/08/2018 10:05:53.168,6935741
24/08/2018 10:05:53.208,6930242
24/08/2018 10:05:53.248,6925896
24/08/2018 10:05:53.288,6923644
24/08/2018 10:05:53.328,6921916
24/08/2018 10:05:53.368,6923592
24/08/2018 10:05:53.408,6925634
24/08/2018 10:05:53.448,6925320
24/08/2018 10:05:53.488,6922282
24/08/2018 10:05:53.528,6916103
24/08/2018 10:05:53.568,6912228
