SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,24,36343448,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,24,36346074,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,24,36347073,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,24,36355600,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,24,36356072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,24,36361072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,24,36370072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36371073,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,36372072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36373072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,36376072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36377072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,36379072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36385072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,36386072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36387073,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,36388072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,24,36427072,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.55g
0,2018,08,24,36727071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,24,39042073,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,24,39200071,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,24,39204073,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
