SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,20,50408435,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,20,50409061,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,50410060,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,20,50410628,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,50413060,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,50426060,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,20,50718060,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,20,53487061,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,20,53491061,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,20,53495561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53495562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53496061,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,20,53496561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53496562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53497061,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,20,53497561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53497562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53498061,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53498061,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,20,53498062,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53498561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53498562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53499061,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,20,53499061,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,20,53499561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53499562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53500061,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53500061,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,20,53500061,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,20,53500062,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53500561,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53500562,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53501061,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53574838,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53574922,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,20,53578569,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,20,53581436,64,System,Button,0,
0,2018,08,20,53583061,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,20,53583811,64,System,Button,0,
